date,usd_price,jpy_price
2025-01-01,2.08,327.53
2025-01-02,2.32,364.53
2025-01-03,2.40,378.60
2025-01-04,2.45,385.62
2025-01-05,2.42,381.14
2025-01-06,2.40,378.47
2025-01-07,2.42,381.69
2025-01-08,2.28,360.26
2025-01-09,2.37,375.24
2025-01-10,2.28,360.08
2025-01-11,2.34,369.50
2025-01-12,2.58,405.97
2025-01-13,2.51,395.96
2025-01-14,2.52,397.86
2025-01-15,2.67,420.93
2025-01-16,3.17,496.13
2025-01-17,3.24,504.24
2025-01-18,3.31,516.70
2025-01-19,3.28,512.47
2025-01-20,2.96,463.72
2025-01-21,3.09,478.20
2025-01-22,3.17,495.47
2025-01-23,3.17,494.69
2025-01-24,3.12,486.96
2025-01-25,3.10,484.09
2025-01-26,3.11,485.36
2025-01-27,3.02,467.56
2025-01-28,3.05,472.98
2025-01-29,3.06,476.24
2025-01-30,3.07,475.12
2025-01-31,3.13,482.57
2025-02-01,3.04,471.94
2025-02-02,2.88,448.58
2025-02-03,2.57,399.70
2025-02-04,2.69,418.25
2025-02-05,2.54,392.06
2025-02-06,2.38,363.67
2025-02-07,2.32,350.65
2025-02-08,2.39,362.80
2025-02-09,2.43,366.70
2025-02-10,2.40,364.23
2025-02-11,2.42,367.34
2025-02-12,2.42,368.82
2025-02-13,2.47,381.66
2025-02-14,2.55,389.96
2025-02-15,2.74,417.70
2025-02-16,2.76,420.93
2025-02-17,2.73,414.65
2025-02-18,2.66,402.43
2025-02-19,2.56,388.90
2025-02-20,2.74,413.84
2025-02-21,2.69,402.13
2025-02-22,2.57,383.27
2025-02-23,2.58,384.52
2025-02-24,2.58,385.03
2025-02-25,2.28,340.00
2025-02-26,2.32,345.60
2025-02-27,2.19,325.89
2025-02-28,2.20,329.39
2025-03-01,2.15,323.14
2025-03-02,2.19,330.16
2025-03-03,2.94,443.21
2025-03-04,2.39,355.63
2025-03-05,2.46,367.92
2025-03-06,2.50,371.85
2025-03-07,2.60,384.36
2025-03-08,2.38,352.76
2025-03-09,2.32,344.15
2025-03-10,2.14,315.81
2025-03-11,2.03,298.92
2025-03-12,2.17,322.07
2025-03-13,2.24,332.75
2025-03-14,2.25,332.62
2025-03-15,2.36,350.18
2025-03-16,2.39,355.64
2025-03-17,2.30,341.75
2025-03-18,2.34,349.63
2025-03-19,2.29,342.23
2025-03-20,2.55,379.15
2025-03-21,2.43,362.00
2025-03-22,2.38,355.44
2025-03-23,2.37,353.27
2025-03-24,2.44,364.54
2025-03-25,2.45,368.43
2025-03-26,2.45,367.90
2025-03-27,2.35,353.18
2025-03-28,2.34,353.10
2025-03-29,2.20,330.02
2025-03-30,2.14,320.56
2025-03-31,2.14,319.14
2025-04-01,2.09,313.70
2025-04-02,2.14,321.00
2025-04-03,2.03,300.36
2025-04-04,2.06,301.98
2025-04-05,2.13,312.62
2025-04-06,2.15,316.23
2025-04-07,1.92,278.31
2025-04-08,1.90,280.19
2025-04-09,1.79,261.33
2025-04-10,2.05,302.40
2025-04-11,1.97,283.42
2025-04-12,2.02,290.49
2025-04-13,2.16,309.65
2025-04-14,2.12,304.97
2025-04-15,2.13,304.60
2025-04-16,2.09,298.69
2025-04-17,2.08,295.57
2025-04-18,2.07,294.52
2025-04-19,2.06,293.81
2025-04-20,2.09,296.80
2025-04-21,2.07,293.82
2025-04-22,2.08,292.98
2025-04-23,2.22,316.52
2025-04-24,2.22,317.55
2025-04-25,2.21,315.25
2025-04-26,2.19,313.92
2025-04-27,2.19,314.89
2025-04-28,2.26,324.66
2025-04-29,2.30,326.70
2025-04-30,2.24,319.09
2025-05-01,2.19,313.60
2025-05-02,2.21,321.99
2025-05-03,2.21,320.07
2025-05-04,2.19,317.14
2025-05-05,2.16,312.10
2025-05-06,2.14,306.93
2025-05-07,2.16,308.24
2025-05-08,2.13,306.19
2025-05-09,2.32,338.97
2025-05-10,2.34,340.49
2025-05-11,2.47,358.42
2025-05-12,2.37,345.20
2025-05-13,2.54,376.99
2025-05-14,2.59,381.75
2025-05-15,2.55,374.47
2025-05-16,2.38,346.20
2025-05-17,2.39,347.73
2025-05-18,2.35,342.35
2025-05-19,2.42,351.21
2025-05-20,2.38,345.24
2025-05-21,2.36,339.99
2025-05-22,2.40,345.14
2025-05-23,2.43,349.13
2025-05-24,2.30,327.70
